"IDSensor","time"
"16944","""2017-05-31T14:15:14.684Z"""
"16944","""2017-05-31T14:15:14.738Z"""
"16944","""2017-05-31T14:15:14.779Z"""
"16944","""2017-05-31T14:15:14.820Z"""
"16944","""2017-05-31T14:15:14.866Z"""
"16944","""2017-05-31T14:15:14.912Z"""
"16944","""2017-05-31T14:15:15.019Z"""
"16944","""2017-05-31T14:15:15.069Z"""
"16944","""2017-05-31T14:15:15.113Z"""
"16944","""2017-05-31T14:15:15.160Z"""
"16944","""2017-05-31T14:15:15.375Z"""
"16944","""2017-05-31T14:15:15.631Z"""
"16944","""2017-05-31T14:15:15.913Z"""
"16944","""2017-05-31T14:15:16.299Z"""
"16944","""2017-05-31T14:15:16.672Z"""
"16944","""2017-05-31T14:15:16.937Z"""
"16944","""2017-05-31T14:15:17.062Z"""
"16944","""2017-05-31T14:15:17.299Z"""
"16944","""2017-05-31T14:15:17.683Z"""
"16944","""2017-05-31T14:15:18.000Z"""
"16944","""2017-05-31T14:15:18.487Z"""
"16944","""2017-05-31T14:15:19.297Z"""
"16944","""2017-05-31T14:15:19.337Z"""
"16944","""2017-05-31T14:15:19.503Z"""
"16944","""2017-05-31T14:15:19.778Z"""
"16944","""2017-05-31T14:15:20.055Z"""
"16944","""2017-05-31T14:15:20.438Z"""
"16944","""2017-05-31T14:15:20.798Z"""
"16944","""2017-05-31T14:15:21.071Z"""
"16944","""2017-05-31T14:15:21.231Z"""
"16944","""2017-05-31T14:15:21.294Z"""
"16944","""2017-05-31T14:15:21.677Z"""
"16944","""2017-05-31T14:15:22.081Z"""
"16944","""2017-05-31T14:15:22.454Z"""
"16944","""2017-05-31T14:15:24.715Z"""
"16944","""2017-05-31T14:15:24.876Z"""
"16944","""2017-05-31T14:15:24.920Z"""
"16944","""2017-05-31T14:15:24.966Z"""
"16944","""2017-05-31T14:15:25.008Z"""
"16944","""2017-05-31T14:15:25.300Z"""
"16944","""2017-05-31T14:15:25.427Z"""
"16944","""2017-05-31T14:15:25.803Z"""
"16944","""2017-05-31T14:15:26.266Z"""
"16944","""2017-05-31T14:15:26.594Z"""
"16944","""2017-05-31T14:15:26.958Z"""
"16944","""2017-05-31T14:15:27.443Z"""
"16944","""2017-05-31T14:15:27.631Z"""
"16944","""2017-05-31T14:15:27.840Z"""
"16944","""2017-05-31T14:15:29.250Z"""
"16944","""2017-05-31T14:15:29.279Z"""
"16944","""2017-05-31T14:15:29.531Z"""
"16944","""2017-05-31T14:15:29.800Z"""
"16944","""2017-05-31T14:15:29.909Z"""
"16944","""2017-05-31T14:15:30.324Z"""
"16944","""2017-05-31T14:15:30.708Z"""
"16944","""2017-05-31T14:15:31.086Z"""
"16944","""2017-05-31T14:15:31.348Z"""
"16944","""2017-05-31T14:15:31.462Z"""
"16944","""2017-05-31T14:15:31.710Z"""
"16944","""2017-05-31T14:15:32.093Z"""
"16944","""2017-05-31T14:15:32.376Z"""
"16944","""2017-05-31T14:15:32.757Z"""
"16944","""2017-05-31T14:15:33.127Z"""
"16944","""2017-05-31T14:15:33.427Z"""
"16944","""2017-05-31T14:15:33.545Z"""
"16944","""2017-05-31T14:15:33.879Z"""
"16944","""2017-05-31T14:15:34.181Z"""
"16944","""2017-05-31T14:15:35.058Z"""
"16944","""2017-05-31T14:15:35.252Z"""
"16944","""2017-05-31T14:15:35.288Z"""
"16944","""2017-05-31T14:15:35.950Z"""
"16944","""2017-05-31T14:15:36.203Z"""
"16944","""2017-05-31T14:15:36.492Z"""
"16944","""2017-05-31T14:15:36.869Z"""
"16944","""2017-05-31T14:15:37.240Z"""
"16944","""2017-05-31T14:15:37.539Z"""
"16944","""2017-05-31T14:15:37.633Z"""
"16944","""2017-05-31T14:15:38.001Z"""
"16944","""2017-05-31T14:15:38.298Z"""
"16944","""2017-05-31T14:15:39.157Z"""
"16944","""2017-05-31T14:15:39.290Z"""
"16944","""2017-05-31T14:15:39.917Z"""
"16944","""2017-05-31T14:15:40.071Z"""
"16944","""2017-05-31T14:15:41.000Z"""
"16944","""2017-05-31T14:15:41.083Z"""
"16944","""2017-05-31T14:15:41.370Z"""
"16944","""2017-05-31T14:15:41.643Z"""
"16944","""2017-05-31T14:15:41.795Z"""
"16944","""2017-05-31T14:15:42.489Z"""
"16944","""2017-05-31T14:15:43.311Z"""
"16944","""2017-05-31T14:15:43.460Z"""
"16944","""2017-05-31T14:15:43.961Z"""
"16944","""2017-05-31T14:15:44.213Z"""
"16944","""2017-05-31T14:15:44.360Z"""
"16944","""2017-05-31T14:15:44.733Z"""
"16944","""2017-05-31T14:15:45.127Z"""
"16944","""2017-05-31T14:15:45.985Z"""
"16944","""2017-05-31T14:15:46.021Z"""
"16944","""2017-05-31T14:15:46.058Z"""
"16944","""2017-05-31T14:15:46.136Z"""
"16944","""2017-05-31T14:15:46.505Z"""
"16944","""2017-05-31T14:15:46.793Z"""
"16944","""2017-05-31T14:15:47.169Z"""
"16944","""2017-05-31T14:15:47.519Z"""
"16944","""2017-05-31T14:15:47.774Z"""
"16944","""2017-05-31T14:15:47.915Z"""
"16944","""2017-05-31T14:15:48.228Z"""
"16944","""2017-05-31T14:15:48.558Z"""
"16944","""2017-05-31T14:15:48.840Z"""
"16944","""2017-05-31T14:15:49.220Z"""
"16944","""2017-05-31T14:15:49.609Z"""
"16944","""2017-05-31T14:15:49.874Z"""
"16944","""2017-05-31T14:15:49.982Z"""
"16944","""2017-05-31T14:15:50.106Z"""
"16944","""2017-05-31T14:15:51.030Z"""
"16944","""2017-05-31T14:15:51.079Z"""
"16944","""2017-05-31T14:15:51.263Z"""
"16944","""2017-05-31T14:15:51.642Z"""
"16944","""2017-05-31T14:15:51.898Z"""
"16944","""2017-05-31T14:15:52.044Z"""
"16944","""2017-05-31T14:15:52.291Z"""
"16944","""2017-05-31T14:15:52.961Z"""
"16944","""2017-05-31T14:15:53.337Z"""
"16944","""2017-05-31T14:15:53.750Z"""
"16944","""2017-05-31T14:15:54.026Z"""
"16944","""2017-05-31T14:15:54.486Z"""
"16944","""2017-05-31T14:15:54.708Z"""
"16944","""2017-05-31T14:15:54.994Z"""
"16944","""2017-05-31T14:15:55.375Z"""
"16944","""2017-05-31T14:15:55.756Z"""
"16944","""2017-05-31T14:15:56.582Z"""
"16944","""2017-05-31T14:15:56.783Z"""
"16944","""2017-05-31T14:15:56.822Z"""
"16944","""2017-05-31T14:15:56.855Z"""
"16944","""2017-05-31T14:15:57.067Z"""
"16944","""2017-05-31T14:15:57.456Z"""
"16944","""2017-05-31T14:15:57.829Z"""
"16944","""2017-05-31T14:15:58.086Z"""
"16944","""2017-05-31T14:15:58.298Z"""
"16944","""2017-05-31T14:15:58.500Z"""
"16944","""2017-05-31T14:15:58.810Z"""
"16944","""2017-05-31T14:15:59.741Z"""
"16944","""2017-05-31T14:15:59.856Z"""
"16944","""2017-05-31T14:16:00.483Z"""
"16944","""2017-05-31T14:16:00.718Z"""
"16944","""2017-05-31T14:16:01.562Z"""
"16944","""2017-05-31T14:16:01.618Z"""
"16944","""2017-05-31T14:16:01.938Z"""
"16944","""2017-05-31T14:16:02.173Z"""
"16944","""2017-05-31T14:16:02.338Z"""
"16944","""2017-05-31T14:16:02.673Z"""
"16944","""2017-05-31T14:16:02.986Z"""
"16944","""2017-05-31T14:16:03.835Z"""
"16944","""2017-05-31T14:16:03.989Z"""
"16944","""2017-05-31T14:16:04.635Z"""
"16944","""2017-05-31T14:16:04.792Z"""
"16944","""2017-05-31T14:16:05.359Z"""
"16944","""2017-05-31T14:16:05.742Z"""
"16944","""2017-05-31T14:16:06.049Z"""
"16944","""2017-05-31T14:16:06.787Z"""
"16944","""2017-05-31T14:16:07.094Z"""
"16944","""2017-05-31T14:16:07.133Z"""
"16944","""2017-05-31T14:16:07.165Z"""
"16944","""2017-05-31T14:16:07.944Z"""
"16944","""2017-05-31T14:16:08.090Z"""
"16944","""2017-05-31T14:16:08.707Z"""
"16944","""2017-05-31T14:16:08.857Z"""
"16944","""2017-05-31T14:16:09.492Z"""
"16944","""2017-05-31T14:16:09.874Z"""
"16944","""2017-05-31T14:16:10.182Z"""
"16944","""2017-05-31T14:16:10.597Z"""
"16944","""2017-05-31T14:16:10.908Z"""
"16944","""2017-05-31T14:16:11.154Z"""
"16944","""2017-05-31T14:16:11.449Z"""
"16944","""2017-05-31T14:16:11.829Z"""
"16944","""2017-05-31T14:16:12.675Z"""
"16944","""2017-05-31T14:16:12.710Z"""
"16944","""2017-05-31T14:16:12.739Z"""
"16944","""2017-05-31T14:16:12.882Z"""
"16944","""2017-05-31T14:16:13.254Z"""
"16944","""2017-05-31T14:16:13.495Z"""
"16944","""2017-05-31T14:16:13.872Z"""
"16944","""2017-05-31T14:16:14.287Z"""
"16944","""2017-05-31T14:16:14.782Z"""
"16944","""2017-05-31T14:16:14.851Z"""
"16944","""2017-05-31T14:16:14.967Z"""
"16944","""2017-05-31T14:16:15.301Z"""
"16944","""2017-05-31T14:16:16.170Z"""
"16944","""2017-05-31T14:16:16.861Z"""
"16944","""2017-05-31T14:16:17.139Z"""
"16944","""2017-05-31T14:16:17.171Z"""
"16944","""2017-05-31T14:16:17.719Z"""
"16944","""2017-05-31T14:16:18.098Z"""
"16944","""2017-05-31T14:16:18.391Z"""
"16944","""2017-05-31T14:16:18.608Z"""
"16944","""2017-05-31T14:16:18.745Z"""
"16944","""2017-05-31T14:16:19.126Z"""
"16944","""2017-05-31T14:16:19.412Z"""
"16944","""2017-05-31T14:16:19.693Z"""
"16944","""2017-05-31T14:16:20.070Z"""
"16944","""2017-05-31T14:16:20.454Z"""
"16944","""2017-05-31T14:16:20.716Z"""
"16944","""2017-05-31T14:16:21.185Z"""
"16944","""2017-05-31T14:16:21.444Z"""
"16944","""2017-05-31T14:16:21.729Z"""
"16944","""2017-05-31T14:16:22.103Z"""
"16944","""2017-05-31T14:16:22.545Z"""
"16944","""2017-05-31T14:16:23.444Z"""
"16944","""2017-05-31T14:16:23.517Z"""
"16944","""2017-05-31T14:16:23.557Z"""
"16944","""2017-05-31T14:16:23.595Z"""
"16944","""2017-05-31T14:16:23.852Z"""
"16944","""2017-05-31T14:16:24.192Z"""
"16944","""2017-05-31T14:16:24.597Z"""
"16944","""2017-05-31T14:16:24.877Z"""
"16944","""2017-05-31T14:16:25.366Z"""
"16944","""2017-05-31T14:16:25.566Z"""
"16944","""2017-05-31T14:16:25.837Z"""
"16944","""2017-05-31T14:16:26.218Z"""
"16944","""2017-05-31T14:16:26.602Z"""
"16944","""2017-05-31T14:16:26.870Z"""
"16944","""2017-05-31T14:16:27.004Z"""
"16944","""2017-05-31T14:16:28.377Z"""
"16944","""2017-05-31T14:16:28.407Z"""
"16944","""2017-05-31T14:16:28.445Z"""
"16944","""2017-05-31T14:16:28.670Z"""
"16944","""2017-05-31T14:16:28.942Z"""
"16944","""2017-05-31T14:16:29.001Z"""
"16944","""2017-05-31T14:16:29.339Z"""
"16944","""2017-05-31T14:16:29.694Z"""
"16944","""2017-05-31T14:16:30.568Z"""
"16944","""2017-05-31T14:16:30.744Z"""
"16944","""2017-05-31T14:16:31.219Z"""
"16944","""2017-05-31T14:16:31.486Z"""
"16944","""2017-05-31T14:16:31.585Z"""
"16944","""2017-05-31T14:16:32.011Z"""
"16944","""2017-05-31T14:16:32.393Z"""
"16944","""2017-05-31T14:16:33.398Z"""
"16944","""2017-05-31T14:16:33.502Z"""
"16944","""2017-05-31T14:16:33.528Z"""
"16944","""2017-05-31T14:16:33.567Z"""
"16944","""2017-05-31T14:16:33.838Z"""
"16944","""2017-05-31T14:16:34.103Z"""
"16944","""2017-05-31T14:16:34.496Z"""
"16944","""2017-05-31T14:16:34.901Z"""
"16944","""2017-05-31T14:16:35.179Z"""
"16944","""2017-05-31T14:16:35.665Z"""
"16944","""2017-05-31T14:16:35.863Z"""
"16944","""2017-05-31T14:16:36.130Z"""
"16944","""2017-05-31T14:16:36.512Z"""
"16944","""2017-05-31T14:16:36.895Z"""
"16944","""2017-05-31T14:16:37.161Z"""
"16944","""2017-05-31T14:16:37.276Z"""
"16944","""2017-05-31T14:16:37.596Z"""
"16944","""2017-05-31T14:16:38.447Z"""
"16944","""2017-05-31T14:16:38.479Z"""
"16944","""2017-05-31T14:16:38.609Z"""
"16944","""2017-05-31T14:16:38.939Z"""
"16944","""2017-05-31T14:16:39.205Z"""
"16944","""2017-05-31T14:16:39.331Z"""
"16944","""2017-05-31T14:16:39.673Z"""
"16944","""2017-05-31T14:16:39.999Z"""
"16944","""2017-05-31T14:16:40.281Z"""
"16944","""2017-05-31T14:16:40.661Z"""
"16944","""2017-05-31T14:16:41.040Z"""
"16944","""2017-05-31T14:16:41.295Z"""
"16944","""2017-05-31T14:16:41.766Z"""
"16944","""2017-05-31T14:16:42.026Z"""
"16944","""2017-05-31T14:16:42.309Z"""
"16944","""2017-05-31T14:16:42.691Z"""
"16944","""2017-05-31T14:16:43.070Z"""
"16944","""2017-05-31T14:16:43.332Z"""
"16944","""2017-05-31T14:16:44.159Z"""
"16944","""2017-05-31T14:16:44.276Z"""
"16944","""2017-05-31T14:16:44.306Z"""
"16944","""2017-05-31T14:16:45.067Z"""
"16944","""2017-05-31T14:16:45.157Z"""
"16944","""2017-05-31T14:16:45.636Z"""
"16944","""2017-05-31T14:16:45.894Z"""
"16944","""2017-05-31T14:16:46.039Z"""
"16944","""2017-05-31T14:16:46.439Z"""
"16944","""2017-05-31T14:16:46.840Z"""
"16944","""2017-05-31T14:16:47.232Z"""
"16944","""2017-05-31T14:16:47.490Z"""
"16944","""2017-05-31T14:16:47.643Z"""
"16944","""2017-05-31T14:16:47.847Z"""
"16944","""2017-05-31T14:16:48.952Z"""
"16944","""2017-05-31T14:16:49.054Z"""
"16944","""2017-05-31T14:16:49.081Z"""
"16944","""2017-05-31T14:16:49.256Z"""
"16944","""2017-05-31T14:16:49.514Z"""
"16944","""2017-05-31T14:16:49.598Z"""
"16944","""2017-05-31T14:16:49.910Z"""
"16944","""2017-05-31T14:31:38.467Z"""
"16944","""2017-05-31T14:31:38.527Z"""
"16944","""2017-05-31T14:31:38.575Z"""
"16944","""2017-05-31T14:31:38.615Z"""
"16944","""2017-05-31T14:31:38.652Z"""
"16944","""2017-05-31T14:31:38.693Z"""
"16944","""2017-05-31T14:31:38.755Z"""
"16944","""2017-05-31T14:31:38.803Z"""
"16944","""2017-05-31T14:31:39.371Z"""
"16944","""2017-05-31T14:31:39.553Z"""
"16944","""2017-05-31T14:31:39.997Z"""
"16944","""2017-05-31T14:31:40.269Z"""
"16944","""2017-05-31T14:31:41.091Z"""
"16944","""2017-05-31T14:31:41.132Z"""
"16944","""2017-05-31T14:31:41.215Z"""
"16944","""2017-05-31T14:31:41.591Z"""
"16944","""2017-05-31T14:31:41.861Z"""
"16944","""2017-05-31T14:31:41.959Z"""
"16944","""2017-05-31T14:31:42.194Z"""
"16944","""2017-05-31T14:31:42.574Z"""
"16944","""2017-05-31T14:31:44.007Z"""
"16944","""2017-05-31T14:31:44.440Z"""
"16944","""2017-05-31T14:31:44.474Z"""
"16944","""2017-05-31T14:31:44.522Z"""
"16944","""2017-05-31T14:31:45.001Z"""
"16944","""2017-05-31T14:31:45.388Z"""
"16944","""2017-05-31T14:31:45.679Z"""
"16944","""2017-05-31T14:31:46.589Z"""
"16944","""2017-05-31T14:31:46.752Z"""
"16944","""2017-05-31T14:31:46.785Z"""
"16944","""2017-05-31T14:31:46.821Z"""
"16944","""2017-05-31T14:31:47.591Z"""
"16944","""2017-05-31T14:31:47.770Z"""
"16944","""2017-05-31T14:31:48.244Z"""
"16944","""2017-05-31T14:31:48.494Z"""
"16944","""2017-05-31T14:31:48.606Z"""
"16944","""2017-05-31T14:31:49.034Z"""
"16944","""2017-05-31T14:31:49.415Z"""
"16944","""2017-05-31T14:31:49.798Z"""
"16944","""2017-05-31T14:31:50.056Z"""
"16944","""2017-05-31T14:31:50.159Z"""
"16944","""2017-05-31T14:31:51.069Z"""
"16944","""2017-05-31T14:31:51.116Z"""
"16944","""2017-05-31T14:31:51.709Z"""
"16944","""2017-05-31T14:31:51.845Z"""
"16944","""2017-05-31T14:31:52.416Z"""
"16944","""2017-05-31T14:31:52.602Z"""
"16944","""2017-05-31T14:31:53.236Z"""
"16944","""2017-05-31T14:31:53.620Z"""
"16944","""2017-05-31T14:31:54.573Z"""
"16944","""2017-05-31T14:31:54.677Z"""
"16944","""2017-05-31T14:31:54.710Z"""
"16944","""2017-05-31T14:31:54.739Z"""
"16944","""2017-05-31T14:31:54.903Z"""
"16944","""2017-05-31T14:31:55.231Z"""
"16944","""2017-05-31T14:31:55.612Z"""
"16944","""2017-05-31T14:31:55.989Z"""
"16944","""2017-05-31T14:31:56.254Z"""
"16944","""2017-05-31T14:31:56.840Z"""
"16944","""2017-05-31T14:31:56.979Z"""
"16944","""2017-05-31T14:31:57.248Z"""
"16944","""2017-05-31T14:31:58.232Z"""
"16944","""2017-05-31T14:31:58.284Z"""
"16944","""2017-05-31T14:31:58.320Z"""
"16944","""2017-05-31T14:31:58.405Z"""
"16944","""2017-05-31T14:31:58.660Z"""
"16944","""2017-05-31T14:31:59.043Z"""
"16944","""2017-05-31T14:31:59.335Z"""
"16944","""2017-05-31T14:31:59.716Z"""
"16944","""2017-05-31T14:32:00.098Z"""
"16944","""2017-05-31T14:32:00.367Z"""
"16944","""2017-05-31T14:32:00.918Z"""
"16944","""2017-05-31T14:32:01.080Z"""
"16944","""2017-05-31T14:32:01.360Z"""
"16944","""2017-05-31T14:32:01.750Z"""
"16944","""2017-05-31T14:32:02.130Z"""
"16944","""2017-05-31T14:32:02.383Z"""
"16944","""2017-05-31T14:32:02.565Z"""
"16944","""2017-05-31T14:32:02.757Z"""
"16944","""2017-05-31T14:32:03.139Z"""
"16944","""2017-05-31T14:32:03.444Z"""
"16944","""2017-05-31T14:32:03.972Z"""
"16944","""2017-05-31T14:32:04.221Z"""
"16944","""2017-05-31T14:32:04.460Z"""
"16944","""2017-05-31T14:32:04.599Z"""
"16944","""2017-05-31T14:32:04.860Z"""
"16944","""2017-05-31T14:32:05.240Z"""
"16944","""2017-05-31T14:32:06.094Z"""
"16944","""2017-05-31T14:32:06.266Z"""
"16944","""2017-05-31T14:32:07.051Z"""
"16944","""2017-05-31T14:32:07.148Z"""
"16944","""2017-05-31T14:32:07.204Z"""
"16944","""2017-05-31T14:32:07.587Z"""
"16944","""2017-05-31T14:32:07.919Z"""
"16944","""2017-05-31T14:32:08.300Z"""
"16944","""2017-05-31T14:32:08.553Z"""
"16944","""2017-05-31T14:32:08.680Z"""
"16944","""2017-05-31T14:32:08.972Z"""
"16944","""2017-05-31T14:32:09.336Z"""
"16944","""2017-05-31T14:32:09.615Z"""
"16944","""2017-05-31T14:32:09.994Z"""
"16944","""2017-05-31T14:32:10.376Z"""
"16944","""2017-05-31T14:32:11.034Z"""
"16944","""2017-05-31T14:32:11.109Z"""
"16944","""2017-05-31T14:32:11.147Z"""
"16944","""2017-05-31T14:32:11.263Z"""
"16944","""2017-05-31T14:32:11.650Z"""
"16944","""2017-05-31T14:32:12.029Z"""
"16944","""2017-05-31T14:32:12.405Z"""
"16944","""2017-05-31T14:32:12.667Z"""
"16944","""2017-05-31T14:32:12.796Z"""
"16944","""2017-05-31T14:32:13.065Z"""
"16944","""2017-05-31T14:32:13.431Z"""
"16944","""2017-05-31T14:32:14.471Z"""
"16944","""2017-05-31T14:32:14.534Z"""
"16944","""2017-05-31T14:32:14.953Z"""
"16944","""2017-05-31T14:32:15.229Z"""
"16944","""2017-05-31T14:32:15.405Z"""
"16944","""2017-05-31T14:32:15.765Z"""
"16944","""2017-05-31T14:32:16.146Z"""
"16944","""2017-05-31T14:32:16.530Z"""
"16944","""2017-05-31T14:32:16.797Z"""
"16944","""2017-05-31T14:32:16.913Z"""
"16944","""2017-05-31T14:32:17.501Z"""
"16944","""2017-05-31T14:32:17.600Z"""
"16944","""2017-05-31T14:32:17.958Z"""
"16944","""2017-05-31T14:32:18.224Z"""
"16944","""2017-05-31T14:32:18.602Z"""
"16944","""2017-05-31T14:32:18.868Z"""
"16944","""2017-05-31T14:32:19.449Z"""
"16944","""2017-05-31T14:32:19.590Z"""
"16944","""2017-05-31T14:32:19.871Z"""
"16944","""2017-05-31T14:32:20.243Z"""
"16944","""2017-05-31T14:32:20.784Z"""
"16944","""2017-05-31T14:32:20.951Z"""
"16944","""2017-05-31T14:32:21.052Z"""
"16944","""2017-05-31T14:32:21.242Z"""
"16944","""2017-05-31T14:32:21.621Z"""
"16944","""2017-05-31T14:32:21.951Z"""